,post1,post2,post3,post4,post5
0,"I heard of a similar suit where a security company was hired to staff guards at an office. Check IDs, log visitors, monitor alarm systems. 

The guards ignored alarms from the building environmental system at their guard post all weekend

Server room HVAC had failed and millions of dollars of server equipment was lost","Nazis. Are they fucking serious?

Shit for brains. Thats what I think of these idiots.","You either wonder why the CDC is in Atlanta?

It’s because it was founded as a Malaria Control Unit. Malaria outbreaks used to occur as far north as the Ohio Valley, people in Pensylvania and New York caught it and died. 
Southern Europe(especially Italy) used to be rife with the stuff as late as the 1950s.","So, someone called the officer a dumbass and the officer plus an entirely-unnecessary amount of 'backup' decided to prove that person entirely correct  by being... dumbasses.

There's a couple different levels of irony there.","i went to a fairly strict catholic k-8 school and even they would let girls wear pants if they wanted,, isn’t the whole point of a uniform system so that kids can focus on their education without worrying about their clothes ?"
1,"If this scientific freezer is anything like the ones at my institution, it's full of old PhD student samples waiting for the paper to be written (which never ends up being written).","""Protesters with Nazi flags""  

Almost there.  What do we call a person with a nazi flag?",Yay now their hydroxychloroquine has a use,That dumbass probably cost the city of Phoenix over a million dollars.,My catholic school tried to enforce a dress code with skirts. I grew up in MN and that was the only time I ever saw parents unified on a single topic ever. They fought it hard enough where the school backed down.
2,Have to wonder how the janitor was trained and paid. Probably some random guy plopped into the position with little knowledge of what he was dealing with. 99% of the time problems like this happen from management cheaping out or neglecting to train.,It’s 2023.  How the fuck did we not learn the lesson by 1945 - nazis are pathetic losers and anyone willingly identifying as or associating themselves with nazism deserve nothing but scorn and derision.  The fact that Nazis still exist is absolutely mind boggling.,"Oh. Hi, climate change. Seeing a lot of you lately. I'm sure this won't be a trend that dominates the rest of my life, and every other human's, for the foreseeable future of the species.","I wonder how quickly things would change if we immediately gave defendants the video of their encounters with police that led to their arrest.   Just put a password on it, stick it on a file server, give that person rights to view/download the video.  Maybe put the URL on the ticket itself.  Something to show good faith between the police and the public, and to ensure that there's transparency and everything is above board.","> School founder Baker Mitchell had said the dress code was intended to promote “chivalry” by the male students and respect for the female students, according to court documents.

No gams on display, no chivalry nor respect."
3,"This beeping is not unusual. I have this happen a lot, and will look at the temp to figure out if I need to call my supervisor, so they can contact the emergency contact if it looks like a freezer is going down. 

I was surprised to read there was such a specific note, it would reduce my anxiety quite a bit if folks posted the expected range on these super cold, highly important, freezers. I’m not a scientist, so my best judgement is not best, for instance I would have never reported a 3 degree C variance, as the note in this article is reported to have asked for.",How many of these idiots had grandfathers in WW2 fighting nazis?,Next up are yellow and dengue fever.,">On August 2, 2022, McDonald continued to ride his bike by a pair of on-duty officers parked at the main Phoenix police union and yell insults at them.

>Minutes later, McDonald would find himself bloody and under arrest in the back of the police SUV after a violent arrest by a handful of officers.

>“I called him a dumb***, and it’s very clear that sent him over the edge,” he told ABC15.

Man exercises his First Amendment right to free speech. Cop with roid rage can't handle it. And the taxpayers will be paying for that cop's arrogance and blatant assault","Looks like this has been pushed in North Carolina since even back to 2019. They are really dead-set about this skirt issue.

https://www.nbcnews.com/news/us-news/north-carolina-charter-school-rule-girls-wear-skirts-struck-down-n988901"
4,"Had a janitorial staff clean the white board in my office that had calculators on it. Didn’t lose anything, but I was confused why they’d think that was ok.",Come on. Call a Nazi a Nazi.,Man Florida has been getting slapped around lately.,"> “Supervisors miss serious policy violations and do not identify officer **misstatements**,” according to the DOJ investigation into Minneapolis.

Lies. They’re called lies.","So what's interesting here is that the substance of this case was whether charter schools that receive state funds count as ""state actors"". 

> Public schools have long been banned from enacting such mandates, but the court’s majority concluded that public charter schools, since they receive public funds, are also “state actors” and are therefore subject to the Constitution’s equal protection clause.

Previously, a lower court had ruled that the charter schools didn't meet enough criteria to be considered state actors, but the 4th circuit ruled that they did. 

SCOTUS declined the appeal of that decision without comment, which essentially means they think the 4th circuit ruled correctly that charter schools which receive public funds are state actors. That could have implications for other rulings around charter schools in the future."
5,That looks like 87 Field. Holy Shirley it is! That janitor really fucked up.,Somebody call Indiana Jones and The Blues Bros to kick some Nazi ass!,"Ah yes, the two states leading the fight against medicine and science.

Great job, fuckos.",Better title - Phoenix police officer proves the person that called him dumb correct.,"Charter Day School says it seeks to ""emphasize traditional values"" and enforces a dress code that requires girls to wear skirts, jumpers, or skorts. Female students wearing skirts, the school's founder said, preserves the idea that ***a woman is a ""fragile vessel that men are supposed to take care of and honor.""***

*emphasis mine*

++++

Alright, you want to honor women. Cool. But you don't want to honor their wishes. You don't see women (or girls) as equals. How is that honoring them? Seriously. To honor someone is to hold them in high esteem (that's the definition). How calling someone a ***fragile vessel*** an honor? Girls aren't vintage gravy boats. They're girls. Honor them by treating them as equals."
6,It sounds like it’s not a training issue but a reading issue. Training doesn’t mean shit if you can’t read a sign and trust that the people running the experiments wouldn’t have locked the outlet if they wanted it to just be turned off another way. I’m guessing they’re just suing the company for training because they’ll get more money that way,"""People who write articles have no balls to call nazis nazis"" is part of the  story here.. But yeah, fuck nazis.. There's people defending the nazis on twitter too 😔","The greatest biological threat to the US population is not people who eat bats, or squirrels, or snakes, or alligators, or bison, or ostrich, or crickets, or cockroaches, all of which are consumed in the US, plus many more.

The greatest biological threat to the US population  are people who deny science, deny medical advice, deny common sense precations, and refuse vaccines.",Good to know the DOJ has been “investigating” the Phoenix PD for 2 years now. I guess a few more years need to pass for actual criminal charges to be filed.,">""School founder Baker Mitchell had said the dress code was intended to promote “chivalry” by the male students and respect for the female students, according to court documents.""

How does wearing a skirt promote “chivalry” by the male students and respect for the female students? Do male students at this school disrespect girls wearing pants?🤷🏽‍♂️"
7,"This article leaves out that “the cleaner mistakenly believed he was turning on the electrical breakers when he had turned them off instead.”

And 

“The investigation conducted by the safety staff determined the cleaner made an error in reading the electrical box.”

It sounds like the janitor thought something was running on UPS and the battery was running low and went to flip the breaker thinking something tripped. I haven’t read an article yet that explains if he even read/found the note before he mistakenly flipped the breaker.","These people are a waste of oxygen, plain and simple.",Cameron county in Texas https://www.dshs.texas.gov/news-alerts/health-advisory-locally-acquired-malaria-case. Southern tip,Cops are such shit heads,The dress code isn't the most egregious issue with Baker Mitchell and his chain of charter schools.  He [is basically stealing taxpayer money](https://www.propublica.org/article/charter-school-power-broker-turns-public-education-into-private-profits) and [indoctrinating children](https://www.charlottemagazine.com/the-baker-mitchell-charter-scheme/) .
8,Don’t let him in a data centre.   Who turns off equipment because it’s beeping,"When they tell you who they are, believe them","Texas: The One Star State.

Florida: America's Wang.","""Phoenix City police officers prove every single shitty thing ever said about them correct."" Fuck the pigs.","I’m from this area. 

[This is the same charter school that decided to discriminate against a boy with Native American heritage](https://www.wwaytv3.com/classic-charter-schools-respond-to-allegations-of-disrespectful-policy-over-hair-length-at-leland-school/)

Fuck charter schools."
9,"I would burn down the building if cultures I'd been working on for years for my PhD got destroyed by a janitor flipping switches he had no right/training to flip because ""beeping.""",I will never understand this,"First Chagas disease, now Malaria. Hemorrhagic fever viruses will likely be next.",I guess the officers felt threatened. Sarcasm,The fact that a public charter school spent resources on taking this lawsuit all the way to the Supreme Court is troubling. Taxpayer dollars for public education being wasted on lawyers working to force girls to wear skirts. They should have their charter revoked.
